speaker	moment	formant ceiling	
1	BHC1	5526	
4	BHC1	4524	
7	BHC1	5000	
10	BHC1	5000	
15	BHC1	6390	
18	BHC1	5526	first spon word used
21	BHC1	4524	
26	BHC1	5526	
29	BHC1	5526	
32	BHC1	5526	
35	BHC1	5782	
36	BHC1	5232	
39	BHC1	5782	
42	BHC1	6078	
45	BHC1	5782	
48	BHC1	6078	
52	BHC1	5500	
56	BHC1	5526	
59	BHC1	5000	
62	BHC1	5424	siik used
65	BHC1	4756	
70	BHC1	5526	siik used
74	BHC1	5500	
77	BHC1	6078	
80	BHC1	6078	
83	BHC1	6078	
86	BHC1	6390	
5	BHC1	5000	
6	BHC1	5262	
24	BHC1	4756	
25	BHC1	4756	
30	BHC1	5256	
31	BHC1	5000	
36	BHC1	5782	
37	BHC1	6078	
46	BHC1	5500	
47	BHC1	5782	
49	BHC1	6390	
50	BHC1	6390	
63	BHC1	5256	
64	BHC1	5256	
71	BHC1	5000	
72	BHC1	4756	
75	BHC1	5782	
76	BHC1	6078	
81	BHC1	6360	
82	BHC1	5500	
85	BHC1	5500	
5	BHC2	4756	
6	BHC2	5809	
20	BHC2	4524	
24	BHC2	4755	
25	BHC2	5000	
30	BHC2	4524	
31	BHC2	5806	
36	BHC2	5500	
37	BHC2	5500	
38	BHC2	5500	
46	BHC2	6078	
47	BHC2	6360	
49	BHC2	5500	
50	BHC2	5332	
51	BHC2	5782	
54	BHC2	4977	
55	BHC2	5232	
63	BHC2	4304	
64	BHC2	5526	
71	BHC2	5526	
72	BHC2	4307	
73	BHC2	5256	
75	BHC2	6078	
76	BHC2	6390	
81	BHC2	5782	
82	BHC2	5232	
85	BHC2	6078	
89	BHC2	6390	
90	BHC2	4977	
91	BHC2	5782	
92	BHC2	5500	
93	BHC2	5500	
94	BHC2	5500	
95	BHC2	5232	
96	BHC2	5232	
97	BHC2	4503	
98	BHC2	5500	
99	BHC2	6078	
100	BHC2	6360	
101	BHC2	5500	
102	BHC2	4734	
103	BHC2	5000	
104	BHC2	4756	
105	BHC2	5000	
106	BHC2	5526	
107	BHC2	4524	
108	BHC2	4524	
109	BHC2	5782	
110	BHC2	6390	
111	BHC2	6390	
112	BHC2	5256	
113	BHC2	5809	
