speaker	vowel	file	moment	birthyear	sex	timepoint	word	prevcons	folcons	style	duration	timeA	F1A	F2A	F3A	timeB	F1B	F2B	F3B	timeC	F1C	F2C	F3C
038	i:	038-F-BHC2	BHC2	1995	female	296.8104797	wiid	v	t	read	170.7138	42.67845	318.6725265	2243.604469	2690.143006	85.3569	452.6681308	2039.22682	2592.72396	128.03535	413.5684317	1943.248311	2478.801374
038	i:	038-F-BHC2	BHC2	1995	female	162.1313941	tiid	t	t	read	225.815543	56.45388575	344.3037755	2135.194903	3016.807441	112.9077715	320.4963823	1985.467176	2505.304066	169.3616573	361.8169052	1876.31598	2452.702598
038	i:	038-F-BHC2	BHC2	1995	female	143.2909781	siik	s	k	read	310.442751	77.61068775	383.7755207	2435.421796	2817.417315	155.2213755	300.7696533	2014.887116	2574.293206	232.8320633	343.1794213	1996.975681	2319.188136
051	i:	051-F-BHC2	BHC2	1996	female	80.22644794	wiif	v	f	read	163.830364	40.957591	381.8586235	2599.52311	3020.70127	81.915182	392.2205801	2607.347272	3028.615782	122.872773	445.0726147	2758.223165	2954.849848
051	i:	051-F-BHC2	BHC2	1996	female	93.47065836	tiid	t	t	read	197.387904	49.346976	366.7542768	2747.966027	3298.764477	98.693952	415.5698857	2590.589978	3258.339653	148.040928	460.4465482	2789.443581	3187.598103
051	i:	051-F-BHC2	BHC2	1996	female	179.409109	wiid	v	t	read	164.315385	41.07884625	409.051507	2795.434931	3511.893478	82.1576925	422.1820637	2877.757997	2976.309569	123.2365388	429.9457711	2748.537345	3029.606629
073	i:	073-F-BHC2	BHC2	1996	male	191.0258827	wiid	v	t	read	138.530879	34.63271975	267.5058338	2133.612092	2968.564533	69.2654395	273.4758456	2142.871568	2992.994617	103.8981593	287.5105482	2083.435627	2731.086561
073	i:	073-F-BHC2	BHC2	1996	male	99.5879144	tiid	t	t	read	191.401369	47.85034225	283.0977613	2057.751253	2739.845286	95.7006845	257.8719996	2057.132251	2712.908696	143.5510268	269.3981318	2076.43074	2745.891084
073	i:	073-F-BHC2	BHC2	1996	male	86.66834432	wiif	v	f	read	232.079894	58.0199735	267.563806	2056.788711	2727.835768	116.039947	305.3289104	2096.862152	2999.142436	174.0599205	293.0332761	2138.06718	3092.610055
073	i:	073-F-BHC2	BHC2	1996	male	88.35243577	siik	s	k	read	220.426332	55.106583	303.6347555	2085.642941	2870.333042	110.213166	306.9090895	2066.62192	2888.838124	165.319749	307.7178961	2110.286211	2868.843478
090	i:	090-F-BHC2	BHC2	1980	female	67.42533511	wiif	v	f	read	236.938477	59.23461925	405.7950995	2539.904803	3104.246116	118.4692385	440.1639612	2629.728191	3311.601476	177.7038578	334.3315672	2802.281178	3133.414364
090	i:	090-F-BHC2	BHC2	1980	female	69.14961782	siik	s	k	read	216.652309	54.16307725	391.6422065	2578.932462	3092.941168	108.3261545	372.408352	2630.597073	3104.792053	162.4892318	399.0613892	2653.438035	2999.503333
090	i:	090-F-BHC2	BHC2	1980	female	79.45894558	tiid	t	t	read	169.664903	42.41622575	338.0064647	2440.596759	2949.202196	84.8324515	313.1354328	2569.071767	2888.567075	127.2486773	331.7417663	2586.655266	2997.388162
090	i:	090-F-BHC2	BHC2	1980	female	149.5679097	wiid	v	t	read	166.776972	41.694243	339.507492	2757.366042	2983.244288	83.388486	393.1361054	2766.601168	3070.639482	125.082729	413.8062065	2762.491627	3015.38878
093	i:	093-F-BHC2	BHC2	1986	female	97.63078468	wiif	v	f	read	253.591499	63.39787475	400.8351732	2695.539015	3131.610437	126.7957495	435.4133529	2724.161522	3020.834911	190.1936243	303.640048	2590.25606	3122.785273
093	i:	093-F-BHC2	BHC2	1986	female	99.58014674	siik	s	k	read	233.236386	58.3090965	426.7229838	2635.06193	3074.888661	116.618193	396.7451835	2699.577758	3132.932059	174.9272895	367.1124961	2623.737028	3073.587312
093	i:	093-F-BHC2	BHC2	1986	female	112.7160396	tiid	t	t	read	185.083004	46.270751	383.6523089	2652.971175	3059.253437	92.541502	397.8947369	2605.998222	3012.492266	138.812253	422.275225	2644.642239	3016.144084
093	i:	093-F-BHC2	BHC2	1986	female	213.9896683	wiid	v	t	read	149.931025	37.48275625	388.8265665	2651.568681	3034.542982	74.9655125	402.0956561	2738.252369	3159.766759	112.4482688	427.1371699	2787.861275	3218.598091
096	i:	096-F-BHC2	BHC2	2000	female	77.8957885	wiif	v	f	read	237.260757	59.31518925	401.6268482	2484.393444	2949.491253	118.6303785	405.537598	2399.251765	3108.453596	177.9455678	401.1568738	2449.119357	3109.401266
096	i:	096-F-BHC2	BHC2	2000	female	79.56375703	siik	s	k	read	240.635983	60.15899575	393.5519971	2399.410265	3434.758328	120.3179915	408.5847381	2437.76376	3196.756791	180.4769873	382.997161	2552.364401	2956.605518
096	i:	096-F-BHC2	BHC2	2000	female	91.08955045	tiid	t	t	read	210.128118	52.5320295	384.648297	2511.386865	2919.800359	105.064059	373.4990464	2563.657877	3108.69276	157.5960885	275.002514	2500.985228	2992.726128
096	i:	096-F-BHC2	BHC2	2000	female	179.6710605	wiid	v	t	read	134.369899	33.59247475	361.5711607	2567.893481	3251.326886	67.1849495	358.3657196	2559.369919	3229.003161	100.7774243	390.2305146	2403.323681	3024.844876
099	i:	099-F-BHC2	BHC2	1998	female	93.02967576	wiif	v	f	read	309.178687	77.29467175	407.2377749	2300.096928	3107.626734	154.5893435	373.6450529	2473.045553	3005.552208	231.8840153	409.1672474	2215.302331	2840.962247
099	i:	099-F-BHC2	BHC2	1998	female	94.49810899	siik	s	k	read	277.313385	69.32834625	284.6682055	2494.69866	3399.064573	138.6566925	414.9914161	2610.272238	2867.662368	207.9850388	471.220685	2327.889688	3458.656076
099	i:	099-F-BHC2	BHC2	1998	female	213.0695606	wiid	v	t	read	220.799972	55.199993	362.2591308	2418.803726	3194.614508	110.399986	469.0310959	2278.10364	2948.660268	165.599979	465.0687809	1871.938086	2928.868675
102	i:	102-F-BHC2	BHC2	2000	female	93.68135193	wiif	v	f	read	276.845956	69.211489	414.0283892	2345.017146	3036.402829	138.422978	369.9581676	2373.624972	3112.447019	207.634467	394.0282926	2217.119312	2720.694502
102	i:	102-F-BHC2	BHC2	2000	female	94.7850581	siik	s	k	read	242.075043	60.51876075	410.3488693	2263.911979	3106.441048	121.0375215	415.5710084	2320.889461	3124.136998	181.5562823	471.2625534	2194.564683	2880.851115
102	i:	102-F-BHC2	BHC2	2000	female	106.6441228	tiid	t	t	read	222.020128	55.505032	355.1709523	2071.55292	2859.960204	111.010064	369.4507752	1682.201253	2714.584806	166.515096	411.5384538	1836.869187	2713.108421
102	i:	102-F-BHC2	BHC2	2000	female	189.607146	wiid	v	t	read	192.998743	48.24968575	387.9348463	2294.092419	2909.764354	96.4993715	378.1989414	2408.766092	3113.252007	144.7490573	405.1545927	2216.494383	2907.15945
105	i:	105-F-BHC2	BHC2	2000	male	122.9675372	tiid	t	t	read	219.913096	54.978274	315.3848197	2174.209136	3003.899393	109.956548	312.5494345	2176.936002	2907.240597	164.934822	344.7244736	2129.57256	2733.89166
105	i:	105-F-BHC2	BHC2	2000	male	106.4117732	wiif	v	f	read	224.573649	56.14341225	300.3987584	2060.391841	2925.317965	112.2868245	339.9640401	2094.174495	3015.731261	168.4302368	334.9189989	2091.594977	2856.194099
105	i:	105-F-BHC2	BHC2	2000	male	232.3911954	wiid	v	t	read	175.105668	43.776417	291.6778518	2073.153561	2898.88292	87.552834	292.889197	2057.309871	3003.889896	131.329251	314.9287595	2037.414358	2737.883564
108	i:	108-F-BHC2	BHC2	2001	male	103.7266261	tiid	t	t	read	274.545677	68.63641925	398.5355966	2222.502535	2633.779086	137.2728385	326.3830821	2239.974349	2287.411586	205.9092578	439.392851	1787.289113	2497.47996
108	i:	108-F-BHC2	BHC2	2001	male	89.71130527	wiif	v	f	read	246.074932	61.518733	291.1430955	2129.547585	2935.211032	123.037466	307.4776335	2173.876931	2863.327927	184.556199	304.6240764	2042.590811	2816.132981
111	i:	111-F-BHC2	BHC2	1996	female	100.1002888	tiid	t	t	read	244.958055	61.23951375	387.626789	2919.666643	4076.235648	122.4790275	323.4621121	2296.671278	3060.738902	183.7185413	421.2690837	2485.684556	3227.568029
113	i:	113-F-BHC2	BHC2	2000	male	123.6140831	wiif	v	f	read	276.428223	69.10705575	253.6693046	2363.252199	3443.852255	138.2141115	248.1088012	2350.133917	3431.973704	207.3211673	322.7523207	2281.088981	2489.500058
113	i:	113-F-BHC2	BHC2	2000	male	126.3386139	siik	s	k	read	336.052123	84.01303075	245.2419662	2463.069368	3437.825702	168.0260615	314.5800749	2254.529208	3470.248726	252.0390923	407.8113184	2101.23708	3086.520446
113	i:	113-F-BHC2	BHC2	2000	male	144.2266724	tiid	t	t	read	245.737357	61.43433925	291.9643702	2309.235258	3253.216918	122.8686785	333.8432408	2324.864244	2936.700337	184.3030178	368.4720382	1741.348013	2494.717701
113	i:	113-F-BHC2	BHC2	2000	male	252.0548874	wiid	v	d	read	196.473409	49.11835225	264.452829	2274.825856	3185.171901	98.2367045	326.8075867	2352.730434	3138.788177	147.3550568	376.725374	2088.102185	2621.737868
038	i:	038-F-BHC2	BHC2	1995	female	1316.275864	tiid	t	t	spon	201.059771	50.26494275	379.067358	2123.03191	3137.036511	100.5298855	318.837429	2442.04303	3049.748081	150.7948283	355.7921556	1945.230714	2456.386866
038	i:	038-F-BHC2	BHC2	1995	female	1344.745645	betiid	t	t	spon	152.044596	38.011149	236.4000231	2023.823291	3009.719183	76.022298	348.4959282	2067.940006	2977.547832	114.033447	369.008067	1902.899224	2763.510284
038	i:	038-F-BHC2	BHC2	1995	female	1083.057298	bliid	l	d	spon	123.414862	30.8537155	363.5770834	2118.664639	2555.923899	61.707431	364.3474994	2039.54751	2417.187385	92.5611465	361.6829488	2142.235526	2625.650922
073	i:	073-F-BHC2	BHC2	1996	male	346.1759649	tiid	t	d	spon	95.911521	23.97788025	348.0513959	2122.71108	2740.021391	47.9557605	303.4000433	1879.233423	2256.439202	71.93364075	321.1611274	2128.367644	2806.721075
073	i:	073-F-BHC2	BHC2	1996	male	374.9823321	tiid	t	t	spon	145.904205	36.47605125	306.8323147	2119.393178	2790.198705	72.9521025	273.9937826	2155.851973	3106.421078	109.4281538	307.6534114	2025.549294	2302.006196
073	i:	073-F-BHC2	BHC2	1996	male	935.875611	tiid	t	t	spon	150.132378	37.5330945	296.2939299	2157.636339	2897.793178	75.066189	305.8133025	2171.917498	3046.388758	112.5992835	322.9920307	2190.337978	2739.755047
073	i:	073-F-BHC2	BHC2	1996	male	994.3296931	tiid	t	t	spon	120.312291	30.07807275	268.0410802	2146.90472	2755.74703	60.1561455	261.9257269	2193.851972	2691.535612	90.23421825	261.3052419	2178.33488	2703.090433
073	i:	073-F-BHC2	BHC2	1996	male	1064.999463	tiid	t	d	spon	116.444951	29.11123775	325.6756827	2155.286375	2348.510012	58.2224755	324.1885501	2192.836873	2988.557006	87.33371325	300.8296629	1915.177164	2275.314425
073	i:	073-F-BHC2	BHC2	1996	male	1078.903921	fiif	f	v	spon	119.130845	29.78271125	298.0329499	2029.429964	2941.486131	59.5654225	303.3095868	2123.557641	3027.054528	89.34813375	285.2028609	2054.208177	2441.163068
073	i:	073-F-BHC2	BHC2	1996	male	1088.435695	tiid	t	t	spon	150.147068	37.536767	325.9573663	2035.621567	2606.478286	75.073534	310.2767428	2124.899226	2523.850603	112.610301	284.1988092	2096.156833	2687.751823
073	i:	073-F-BHC2	BHC2	1996	male	1205.292905	eartiids	t	t	spon	173.67091	43.4177275	333.1580897	2126.145207	2859.070185	86.835455	346.1678275	2144.742617	2454.37708	130.2531825	285.3427301	2077.336114	2871.629047
073	i:	073-F-BHC2	BHC2	1996	male	1267.241836	fiif	f	v	spon	192.846129	48.21153225	294.0299705	2169.805103	2668.215675	96.4230645	264.6629494	2211.332237	3329.820451	144.6345968	254.7686053	2185.8182	3386.406775
073	i:	073-F-BHC2	BHC2	1996	male	1272.284001	tiid	t	d	spon	104.803698	26.2009245	281.9238666	2173.274552	2764.189526	52.401849	295.9439541	2193.766879	2779.079322	78.6027735	282.8095232	2176.89346	2451.261749
090	i:	090-F-BHC2	BHC2	1980	female	672.9384921	fiif	f	f	spon	135.194135	33.79853375	437.733158	2446.442244	2982.627121	67.5970675	472.5390344	2507.629055	2981.014412	101.3956013	451.4710191	2376.630347	2899.243366
090	i:	090-F-BHC2	BHC2	1980	female	714.4282152	fiif	f	v	spon	149.866766	37.4666915	407.7895399	2484.217187	3100.887273	74.933383	385.8360839	2597.702819	2986.876222	112.4000745	358.7493133	2506.309951	2917.145448
090	i:	090-F-BHC2	BHC2	1980	female	835.6639718	betiid	t	t	spon	145.684449	36.42111225	413.2114339	2599.221772	2661.732493	72.8422245	397.0936088	2572.887077	2708.352283	109.2633368	397.1340641	2493.832265	2657.911117
093	i:	093-F-BHC2	BHC2	1986	female	596.423927	tiid	t	t	spon	182.416018	45.6040045	385.1315939	2494.557074	2921.724013	91.208009	368.6307198	2569.129746	2949.768354	136.8120135	355.373465	2522.86597	2903.480559
096	i:	096-F-BHC2	BHC2	2000	female	733.087337	tiidsje	t	t	spon	103.065485	25.76637125	400.8920165	2337.682341	2895.760491	51.5327425	394.3089524	2492.942207	2987.41447	77.29911375	401.5159073	2684.810387	3120.910321
